hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,14.66,50.77,0.0,1.27,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-38.01,0.0,0.0,14732.0,0.0,0.0,7.82,28.69
1,14.92,52.38,0.0,1.3,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-37.38,0.0,0.0,14754.43,0.0,7.85,0.0,31.21
2,14.92,53.38,0.0,1.11,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-41.7,0.0,0.0,14776.49,0.0,7.81,0.0,27.7
3,14.8,53.73,0.0,1.12,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-41.67,0.0,0.0,14801.09,0.0,7.81,0.0,27.99
4,14.44,53.45,0.0,1.21,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-40.95,0.0,0.0,14825.68,0.0,0.0,7.82,28.16
5,14.11,53.7,0.0,1.25,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-41.04,0.0,0.0,14849.83,0.0,7.81,0.0,28.02
6,13.91,53.87,0.0,1.21,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-39.99,0.0,0.0,14874.05,0.0,7.83,0.0,29.0
7,13.7,54.01,0.46,1.18,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-41.57,0.0,0.0,14897.64,7.81,0.0,0.0,27.78
8,13.66,53.43,6.96,1.19,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-44.11,0.0,0.0,14922.17,0.0,0.0,7.85,31.14
9,13.49,51.02,18.02,1.31,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-46.6,0.0,0.0,14948.19,0.0,0.0,7.92,37.23
10,13.33,49.94,27.78,1.38,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-52.38,0.0,0.0,14975.69,7.95,0.0,0.0,40.06
11,13.4,51.22,31.8,1.38,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-54.12,0.0,0.0,15006.59,0.0,0.0,7.99,43.68
12,13.55,51.45,30.69,1.29,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-50.25,0.0,0.0,15038.52,0.0,0.0,8.02,46.73
13,13.71,51.28,23.78,1.36,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-45.61,0.0,0.0,15068.17,0.0,8.0,0.0,44.52
14,13.88,50.73,14.06,1.25,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-42.85,0.0,0.0,15095.08,0.0,7.91,0.0,37.07
15,14.05,51.79,4.03,1.27,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-37.68,0.0,0.0,15120.36,7.87,0.0,0.0,33.46
16,14.2,52.63,0.0,1.25,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-36.7,0.0,0.0,15142.59,0.0,0.0,7.85,31.38
17,14.25,52.68,0.0,1.33,0.0,0.0,0.0,-0.0,0.0,-2.38,-0.0,-33.64,0.0,0.0,15164.25,0.0,0.0,7.86,32.25
18,14.17,51.87,0.0,1.45,0.0,0.0,0.0,-0.0,0.0,-9.3,-0.0,-24.16,2.26,0.0,15184.09,0.0,7.88,0.0,34.03
19,13.92,50.7,0.0,1.82,0.0,0.0,0.0,-0.0,0.0,-9.3,-0.0,-20.12,11.1,0.0,15198.35,0.0,7.91,0.0,37.01
20,13.64,48.73,0.0,1.71,0.0,0.0,0.0,-0.0,0.0,-9.3,-0.0,-14.42,19.93,0.0,15210.22,0.0,0.0,7.95,40.36
