hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,13.19,32.99,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,44.18,0.0,5725.67,0.0,7.82,0.0,28.69
1,13.81,34.63,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,44.18,0.0,5730.7,0.0,7.85,0.0,31.21
2,14.4,35.77,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,44.18,0.0,5735.72,0.0,7.81,0.0,27.7
3,15.04,37.17,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,44.18,0.0,5740.75,0.0,7.81,0.0,27.99
4,15.51,38.25,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,44.18,0.0,5745.78,0.0,7.82,0.0,28.16
5,15.84,40.48,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,44.18,0.0,5750.8,0.0,7.81,0.0,28.02
6,15.82,42.44,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,44.18,0.0,5755.83,0.0,7.83,0.0,29.0
7,15.89,43.61,1.4,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,53.01,0.0,5760.86,0.0,7.81,0.0,27.78
8,15.49,42.8,7.5,1.19,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,53.01,0.0,5765.88,0.0,7.85,0.0,31.14
9,14.86,42.7,11.62,1.31,0.0,0.0,0.0,0.0,0.0,-7.97,-0.0,-8.52,61.85,0.0,5770.91,0.0,7.92,0.0,37.23
10,14.5,44.89,12.78,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,69.41,0.0,5775.94,0.0,7.95,0.0,40.06
11,13.69,44.5,12.11,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,69.41,0.0,5780.96,0.0,7.99,0.0,43.68
12,12.87,41.83,11.27,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,69.41,0.0,5785.99,0.0,8.02,0.0,46.73
13,12.49,37.76,9.74,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,69.41,0.0,5791.02,0.0,8.0,0.0,44.52
14,12.49,33.32,7.7,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,69.41,0.0,5796.04,0.0,7.91,0.0,37.07
15,12.63,31.77,3.51,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,69.41,0.0,5801.07,0.0,7.87,0.0,33.46
16,12.94,33.01,0.01,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,69.41,0.0,5806.1,0.0,7.85,0.0,31.38
17,13.22,34.45,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-8.23,-0.0,-8.52,69.41,0.0,5811.12,0.0,7.86,0.0,32.25
18,13.5,36.21,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,77.23,0.0,5816.15,0.0,7.88,0.0,34.03
19,13.67,37.93,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-7.88,-0.0,-8.52,77.23,0.0,5821.18,0.0,7.91,0.0,37.01
20,13.79,38.22,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,84.72,0.0,5826.21,0.0,7.95,0.0,40.36
21,13.81,38.27,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,84.72,0.0,5831.23,0.0,7.92,0.0,37.94
22,13.86,39.62,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,84.72,0.0,5836.26,0.0,7.9,0.0,35.63
23,14.09,42.18,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,84.72,0.0,5841.29,0.0,7.85,0.0,31.3
24,14.26,42.78,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,84.72,0.0,5846.31,0.0,7.86,0.0,32.15
25,14.36,43.3,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,84.72,0.0,5851.34,0.0,7.89,0.0,34.47
26,14.33,42.97,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,93.55,0.0,5856.37,0.0,7.86,0.0,31.91
27,14.28,43.37,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,102.39,0.0,5861.39,0.0,7.85,0.0,31.55
28,14.25,44.03,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,111.22,0.0,5866.42,0.0,7.85,0.0,31.29
29,14.26,45.14,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,111.22,0.0,5871.45,0.0,7.84,0.0,30.09
30,14.25,46.72,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,120.06,0.0,5876.47,0.0,7.85,0.0,31.4
31,14.12,47.7,1.6,1.18,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,120.06,0.0,5881.5,0.0,7.89,0.0,35.17
32,13.99,47.55,11.57,1.23,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,128.89,0.0,5886.53,0.0,7.9,0.0,35.83
33,13.73,47.99,23.46,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-25.57,-8.52,137.73,0.0,5891.55,0.0,0.0,7.94,39.43
34,13.48,50.33,33.56,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-25.67,-8.52,146.56,23.01,5896.58,0.0,0.0,8.07,51.43
35,13.2,52.18,38.14,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-25.67,-8.52,155.4,46.11,5901.61,0.0,0.0,8.12,55.94
36,12.84,53.16,36.8,1.58,0.0,0.0,0.0,0.0,0.0,-9.3,-25.67,-8.52,164.23,69.22,5906.63,0.0,0.0,8.16,59.58
37,12.47,52.28,30.43,1.62,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,173.07,92.32,5911.66,0.0,8.14,0.0,57.83
38,12.07,48.14,19.92,1.46,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,173.07,92.32,5916.69,0.0,8.1,0.0,54.27
39,11.93,46.75,6.56,1.43,0.0,0.0,0.0,0.0,0.0,-7.3,-0.0,-8.52,173.07,92.32,5921.71,0.0,8.07,0.0,50.85
40,11.93,48.5,0.02,1.59,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,180.0,92.32,5926.74,0.0,7.95,0.0,40.21
41,11.52,47.04,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,180.0,92.32,5931.77,0.0,7.95,0.0,40.58
42,10.77,44.06,0.0,2.24,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,180.0,92.32,5936.79,0.0,8.01,0.0,45.96
43,9.62,40.54,0.0,2.49,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.37,180.0,92.32,5941.82,0.0,8.05,0.0,49.29
44,8.31,36.97,0.0,2.43,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.84,180.0,92.32,5943.81,0.0,7.99,0.0,43.87
45,6.91,33.39,0.0,2.12,0.0,0.0,0.0,0.0,0.75,-0.0,-0.0,-0.0,180.0,92.32,5946.07,0.0,7.98,0.0,43.17
46,5.57,30.31,0.0,1.93,4.53,0.0,0.0,1.95,0.0,-0.0,-0.0,-0.0,180.0,92.32,5944.41,0.0,7.99,0.0,44.28
47,4.55,27.78,0.0,1.93,6.72,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,180.0,90.27,5944.41,0.0,7.96,0.0,40.97
48,3.93,25.43,0.0,1.9,10.09,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,180.0,90.27,5944.41,0.0,7.96,0.0,41.35
49,3.38,23.08,0.0,1.79,12.86,0.0,9.0,0.0,0.0,-0.0,-0.0,-0.0,180.0,90.27,5944.41,0.0,8.06,0.0,50.11
50,2.67,20.65,0.0,1.73,12.86,0.0,9.3,0.0,0.69,-0.0,-0.0,-0.0,170.0,90.27,5944.41,0.0,8.03,0.0,47.9
51,2.15,18.37,0.0,1.64,12.86,0.0,9.3,3.96,0.0,-0.0,-0.0,-0.0,159.67,90.27,5942.88,0.0,8.04,0.0,48.27
52,1.71,16.49,0.0,1.49,12.86,0.0,9.3,6.64,0.0,-0.0,-0.0,-0.0,149.34,86.1,5942.88,0.0,8.04,0.0,48.49
53,1.42,15.13,0.0,1.45,12.86,0.0,9.3,9.04,0.0,-0.0,-0.0,-0.0,139.0,79.12,5942.88,0.0,8.05,0.0,49.2
54,1.34,14.4,0.0,1.48,12.86,0.0,9.3,10.85,0.0,-0.0,-0.0,-0.0,128.67,69.6,5942.88,0.0,8.06,0.0,50.23
55,1.28,13.97,2.44,1.53,12.86,0.0,2.32,0.0,21.25,-0.0,-0.0,-0.0,118.34,58.18,5942.88,0.0,8.12,0.0,55.65
56,1.32,13.56,21.4,1.67,12.64,0.0,9.3,0.0,0.0,-0.0,-0.0,-0.0,115.76,58.18,5895.66,0.0,8.17,0.0,59.89
57,1.31,13.96,43.37,1.71,0.0,0.0,0.0,0.0,5.08,-0.0,-0.0,-0.0,105.43,58.18,5895.66,0.0,8.23,0.0,65.43
58,1.24,14.01,60.49,1.88,0.0,0.0,0.0,0.0,0.0,-9.3,-1.54,-0.0,105.43,58.18,5884.37,0.0,8.24,0.0,66.78
59,1.15,13.72,68.09,1.99,0.0,0.0,0.0,0.0,0.0,-9.3,-2.4,-0.0,114.26,59.57,5884.37,0.0,8.31,0.0,73.24
60,1.02,13.37,66.95,2.01,0.0,0.0,0.0,0.0,0.0,-6.46,-0.0,-0.0,123.1,61.72,5884.37,0.0,8.35,0.0,76.88
61,0.94,13.15,57.78,2.0,2.63,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,129.24,61.72,5884.37,0.0,8.35,0.0,76.5
62,1.07,13.08,40.07,1.85,12.86,0.0,1.29,0.0,0.0,-0.0,-0.0,-0.0,129.24,61.72,5884.37,0.0,8.28,0.0,70.23
63,1.59,13.19,15.25,1.71,12.86,0.0,9.3,10.7,0.0,-0.0,-0.0,-0.0,127.8,61.72,5884.37,0.0,8.22,0.0,64.6
64,2.48,14.29,0.09,1.72,12.86,0.0,9.3,0.78,21.25,-0.0,-0.0,-0.0,117.47,50.46,5884.37,0.0,8.2,0.0,62.77
65,3.48,15.52,0.0,1.9,12.86,0.0,9.3,16.56,0.0,-0.0,-0.0,-0.0,107.14,49.64,5837.15,0.0,8.16,0.0,59.63
66,4.39,16.95,0.0,2.21,12.86,0.0,9.3,0.0,17.11,-0.0,-0.0,-0.0,96.8,32.21,5837.15,0.0,8.2,0.0,62.82
67,5.16,18.28,0.0,2.57,12.86,0.0,9.3,9.66,8.23,-0.0,-0.0,-0.0,86.47,32.21,5799.13,0.0,8.23,0.0,66.07
68,5.79,19.41,0.0,2.56,12.86,0.0,9.3,14.18,0.0,-0.0,-0.0,-0.0,76.14,22.04,5780.83,0.0,8.21,0.0,64.1
69,6.18,19.83,0.0,2.27,12.86,0.0,0.0,0.0,17.88,-0.0,-0.0,-0.0,65.8,7.11,5780.83,0.0,8.16,0.0,59.02
70,6.39,20.04,0.0,2.27,8.33,0.0,0.0,0.0,21.25,-0.0,-0.0,-0.0,65.8,7.11,5741.1,0.0,8.15,0.0,58.28
71,6.62,20.83,0.0,2.14,12.86,0.0,9.3,0.0,0.15,-0.0,-0.0,-0.0,65.8,7.11,5693.88,0.0,8.08,0.0,51.9
72,6.85,21.44,0.0,2.0,12.86,0.0,8.13,0.0,0.0,-0.0,-0.0,-0.0,55.47,7.11,5693.54,0.0,8.07,0.0,51.27
73,7.06,22.95,0.0,1.85,0.0,0.0,0.0,0.0,20.0,-0.0,-0.0,-0.0,46.43,7.11,5693.54,0.0,8.08,0.0,51.85
74,7.16,24.84,0.0,1.72,0.0,0.0,9.3,6.76,0.0,-0.0,-0.0,-0.0,46.43,7.11,5649.1,0.0,8.05,0.0,49.77
75,7.16,26.09,0.0,1.73,12.86,0.0,2.44,0.0,0.0,-0.0,-0.0,-0.0,36.1,0.0,5649.1,0.0,8.06,0.0,50.28
76,6.99,26.43,0.0,1.78,0.0,0.0,0.0,0.0,15.49,-0.0,-0.0,-0.0,33.39,0.0,5649.1,0.0,8.06,0.0,50.69
77,6.54,25.99,0.0,1.86,12.86,0.0,0.0,0.0,4.7,-0.0,-0.0,-0.0,33.39,0.0,5614.68,0.0,8.08,0.0,51.95
78,6.09,24.55,0.0,2.07,12.86,0.0,6.25,0.0,0.0,-0.0,-0.0,-0.0,33.39,0.0,5604.23,0.0,8.08,0.0,51.82
79,5.88,23.94,2.32,2.42,12.86,0.0,0.0,0.0,6.43,-0.0,-0.0,-0.0,26.44,0.0,5604.23,0.0,8.1,0.0,53.85
80,5.8,24.11,25.14,2.75,0.0,0.0,0.0,0.0,0.55,-0.0,-0.0,-0.0,26.44,0.0,5589.95,0.0,8.15,0.0,58.35
81,5.26,24.04,43.5,3.17,0.0,0.0,0.0,0.0,0.0,-9.3,-0.52,-0.0,26.44,0.0,5588.73,0.0,8.23,0.0,66.15
82,4.4,23.53,56.12,3.26,0.0,0.0,0.0,0.0,0.0,-9.3,-7.32,-0.0,35.28,0.46,5588.73,0.0,8.28,0.0,70.69
83,3.67,23.14,62.57,3.2,0.0,0.0,0.0,0.0,0.0,-9.3,-7.99,-0.0,44.11,7.05,5588.73,0.0,8.33,0.0,75.28
84,3.16,23.04,61.0,3.3,0.0,0.0,0.0,0.0,0.0,-9.3,-2.15,-0.0,52.95,14.25,5588.73,0.0,8.38,0.0,79.05
85,2.93,23.06,52.87,3.32,0.0,0.0,0.0,0.0,0.0,-2.99,-0.0,-0.0,61.78,16.18,5588.73,0.0,8.38,0.0,79.18
86,2.89,22.21,38.21,3.22,0.0,0.0,0.0,2.58,0.0,-0.0,-0.0,-0.0,64.63,16.18,5588.73,0.0,8.27,0.0,69.1
87,3.24,21.32,16.69,3.21,12.86,0.0,7.85,0.0,0.0,-0.0,-0.0,-0.0,64.63,13.46,5588.73,0.0,8.22,0.0,65.17
88,3.69,21.58,0.27,3.26,12.86,0.0,9.3,3.75,9.56,-0.0,-0.0,-0.0,55.91,13.46,5588.73,0.0,8.21,0.0,64.27
89,3.6,20.93,0.0,3.41,5.59,0.0,9.3,0.0,21.25,-0.0,-0.0,-0.0,45.57,9.52,5567.48,0.0,8.21,0.0,64.08
90,3.06,19.36,0.0,3.76,10.44,0.0,9.3,0.0,21.25,-0.0,-0.0,-0.0,35.24,9.52,5520.26,0.0,8.25,0.0,67.17
91,2.56,18.15,0.0,3.98,12.86,0.0,8.47,2.91,21.25,-0.0,-0.0,-0.0,24.91,9.52,5473.04,0.83,7.45,0.0,70.18
92,2.66,18.27,0.0,3.78,12.86,0.0,0.0,6.13,21.25,-0.0,-0.0,-0.0,15.5,6.45,5425.82,0.0,8.22,0.0,64.96
93,3.54,20.4,0.0,3.36,12.86,0.0,0.61,0.0,21.25,-0.0,-0.0,-0.0,15.5,0.0,5378.6,0.0,8.19,0.0,62.01
94,5.01,23.78,0.0,3.05,12.86,0.0,9.3,0.0,2.41,-0.0,-0.0,-0.0,14.82,0.0,5331.37,0.0,8.13,0.0,56.42
95,6.53,26.84,0.0,2.94,12.86,0.0,4.04,0.0,0.0,-0.0,-0.0,-0.0,4.49,0.0,5326.01,0.0,8.09,0.0,53.22
96,7.67,28.49,0.0,2.86,0.0,0.0,0.0,0.0,12.74,-0.0,-0.0,-0.0,0.0,0.0,5326.01,0.0,8.08,0.0,51.75
97,8.34,28.91,0.0,2.69,0.0,0.0,0.0,0.0,13.04,-0.0,-0.0,-0.0,0.0,0.0,5297.71,0.0,8.09,0.0,52.98
98,8.84,29.06,0.0,2.54,10.77,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,5268.72,0.0,8.07,0.0,51.21
99,9.33,29.0,0.0,2.41,0.0,0.0,0.0,0.0,10.85,-0.0,-0.0,-0.0,0.0,0.0,5268.72,0.0,8.07,0.0,51.59
100,9.56,28.85,0.0,2.36,11.12,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,5244.62,0.0,8.08,0.0,51.9
101,9.67,29.38,0.0,2.36,11.14,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,5244.62,0.0,8.08,0.0,52.56
102,9.66,29.57,0.0,2.57,12.66,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,5244.62,0.0,8.11,0.0,54.46
103,9.34,29.38,2.59,2.99,0.0,0.0,0.0,0.0,9.19,-0.0,-0.0,-0.0,0.0,0.0,5244.62,0.0,8.1,0.0,53.5
104,9.1,28.61,23.05,3.41,0.0,0.0,0.0,0.0,0.0,-1.97,-0.0,-0.0,0.0,0.0,5224.2,0.0,8.19,0.0,62.2
105,8.96,27.71,40.98,3.62,0.0,0.0,0.0,0.0,0.0,-9.3,-7.41,-0.0,1.87,0.0,5224.2,0.0,8.22,0.0,64.56
106,8.66,27.65,53.5,3.77,0.0,0.0,0.0,0.0,0.0,-9.3,-13.69,-0.0,10.71,6.67,5224.2,0.0,8.28,0.0,70.6
107,8.67,28.02,59.17,3.75,0.0,0.0,0.0,0.0,0.0,-9.3,-17.43,-0.0,19.54,18.99,5224.2,0.0,8.31,0.0,72.89
108,8.7,28.32,58.06,3.63,0.0,0.0,0.0,0.0,0.0,-9.3,-14.51,-0.0,28.38,34.67,5224.2,0.0,8.33,0.0,74.89
109,8.99,28.62,50.85,3.37,0.0,0.0,0.0,0.0,0.0,-9.3,-10.98,-0.0,37.21,47.73,5224.2,0.0,8.29,0.0,71.55
110,9.16,29.61,34.31,3.19,0.0,0.0,0.0,0.0,0.0,-7.19,-0.0,-0.0,46.05,57.61,5224.2,0.0,8.27,0.0,69.09
111,9.42,31.9,12.9,2.98,9.78,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,52.88,57.61,5224.2,0.0,8.24,0.0,66.98
112,9.71,33.97,0.18,2.96,0.0,0.0,0.0,0.0,15.64,-0.0,-0.0,-0.0,52.88,57.61,5224.2,0.0,8.19,0.0,62.46
113,9.94,34.04,0.0,3.16,0.0,0.0,0.0,0.0,14.6,-0.0,-0.0,-0.0,52.88,57.61,5189.44,0.0,8.19,0.0,61.73
114,10.15,33.44,0.0,3.71,12.86,0.0,0.0,3.07,0.0,-0.0,-0.0,-0.0,52.88,57.61,5156.99,0.0,8.2,0.0,63.23
115,10.33,32.99,0.0,4.18,0.0,0.0,0.0,17.29,0.0,-0.0,-0.0,-0.0,52.88,54.37,5156.99,0.0,8.22,0.0,64.8
116,10.56,33.33,0.0,3.97,0.0,0.0,0.0,6.63,12.93,-0.0,-0.0,-0.0,52.88,36.18,5156.99,0.0,8.25,0.0,67.42
117,10.82,33.13,0.0,3.6,12.86,0.0,0.0,1.67,0.0,-0.0,-0.0,-0.0,52.88,29.21,5128.26,0.0,8.19,0.0,62.09
118,10.71,32.32,0.0,3.39,10.53,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,52.88,27.44,5128.26,0.0,8.13,0.0,56.95
119,10.78,32.28,0.0,3.24,6.32,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,52.88,27.44,5128.26,0.0,8.09,0.0,52.62
120,10.74,31.96,0.0,3.03,0.0,0.0,6.47,0.0,0.0,-0.0,-0.0,-0.0,52.88,27.44,5128.26,0.0,8.08,0.0,52.2
121,11.04,31.5,0.0,2.67,0.0,0.0,0.0,7.98,0.0,-0.0,-0.0,-0.0,45.69,27.44,5128.26,0.0,8.09,0.0,53.19
