hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,14.66,50.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-36.75,0.0,0.0,10163.64,7.82,0.0,0.0,28.69
1,14.92,52.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-13.85,-22.24,0.0,0.0,10185.32,7.85,0.0,0.0,31.21
2,14.92,53.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.92,-25.67,-0.0,0.0,12.47,10198.44,7.81,0.0,0.0,27.7
3,14.8,53.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.55,-0.0,-0.0,14.18,35.57,10198.44,7.81,0.0,0.0,27.99
4,14.44,53.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.73,-0.0,-0.0,52.7,35.57,10198.44,7.82,0.0,0.0,28.16
5,14.11,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.79,-0.0,-0.0,90.45,35.57,10198.44,7.81,0.0,0.0,28.02
6,13.91,53.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.78,-0.0,-0.0,128.25,35.57,10198.44,7.83,0.0,0.0,29.0
7,13.7,54.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,-40.39,-0.0,-0.0,165.09,35.57,10198.44,7.81,0.0,0.0,27.78
8,13.66,53.43,6.96,0.0,0.0,0.0,0.0,0.0,0.0,-42.91,-0.0,-0.0,203.46,35.57,10198.44,7.85,0.0,0.0,31.14
9,13.49,51.02,18.02,0.0,0.0,0.0,0.0,0.0,0.0,-21.1,-24.2,-0.0,244.23,35.57,10198.44,7.92,0.0,0.0,37.23
10,13.33,49.94,27.78,0.0,0.0,0.0,0.0,0.0,0.0,-46.5,-4.49,-0.0,264.27,57.35,10198.44,7.95,0.0,0.0,40.06
11,13.4,51.22,31.8,0.0,0.0,0.0,0.0,0.0,0.0,-46.5,-6.24,-0.0,308.44,61.39,10198.44,7.99,0.0,0.0,43.68
12,13.55,51.45,30.69,0.0,0.0,0.0,0.0,0.0,0.0,-46.5,-2.46,-0.0,352.62,67.0,10198.44,8.02,0.0,0.0,46.73
13,13.71,51.28,23.78,0.0,0.0,0.0,0.0,0.0,0.0,-44.25,-0.0,-0.0,396.79,69.22,10198.44,8.0,0.0,0.0,44.52
14,13.88,50.73,14.06,0.0,0.0,0.0,0.0,0.0,0.0,-41.59,-0.0,-0.0,438.83,69.22,10198.44,7.91,0.0,0.0,37.07
15,14.05,51.79,4.03,0.0,0.0,0.0,0.0,0.0,0.0,-36.41,-0.0,-0.0,478.35,69.22,10198.44,7.87,0.0,0.0,33.46
16,14.2,52.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.78,-25.67,-0.0,512.94,69.22,10198.44,7.85,0.0,0.0,31.38
17,14.25,52.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.69,-0.0,-0.0,522.23,92.32,10198.44,7.86,0.0,0.0,32.25
18,14.17,51.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.01,-0.0,-0.0,555.19,92.32,10198.44,7.88,0.0,0.0,34.03
19,13.92,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.6,-0.0,-0.0,585.6,92.32,10198.44,7.91,0.0,0.0,37.01
20,13.64,48.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.01,-0.0,-0.0,611.82,92.32,10198.44,7.95,0.0,0.0,40.36
21,13.25,47.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.35,-0.0,-0.0,632.73,92.32,10198.44,7.92,0.0,0.0,37.94
22,12.75,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.81,-0.0,-0.0,653.97,92.32,10198.44,7.9,0.0,0.0,35.63
23,12.14,43.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.57,-0.0,-0.0,675.63,92.32,10198.44,7.85,0.0,0.0,31.3
24,11.65,41.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.49,-0.0,-0.0,698.97,92.32,10198.44,7.86,0.0,0.0,32.15
25,11.27,40.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.7,-0.0,-0.0,719.39,92.32,10198.44,7.89,0.0,0.0,34.47
26,10.88,39.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.85,-0.0,-0.0,736.2,92.32,10198.44,7.86,0.0,0.0,31.91
27,10.57,38.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.88,-0.0,-0.0,754.11,92.32,10198.44,7.85,0.0,0.0,31.55
28,10.17,38.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.56,-0.0,-0.0,771.1,92.32,10198.44,7.85,0.0,0.0,31.29
29,9.61,37.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.25,-0.0,-0.0,787.77,92.32,10198.44,7.84,0.0,0.0,30.09
30,8.83,35.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.99,-0.0,-0.0,804.16,92.32,10198.44,7.85,0.0,0.0,31.4
31,7.9,32.96,1.19,0.0,0.0,0.0,0.0,0.0,0.0,-6.88,-0.0,-0.0,816.5,92.32,10198.44,7.89,0.0,0.0,35.17
32,6.85,28.81,11.79,0.0,0.0,0.0,0.0,0.0,0.0,-11.62,-0.0,-0.0,823.04,92.32,10198.44,7.9,0.0,0.0,35.83
33,5.35,23.96,24.84,0.0,0.0,0.0,0.0,0.0,0.0,-14.72,-0.0,-0.0,834.08,92.32,10198.44,7.94,0.0,0.0,39.43
34,3.84,22.22,38.71,0.0,0.0,0.0,0.0,0.0,0.0,-13.35,-0.0,-0.0,848.06,92.32,10198.44,8.07,0.0,0.0,51.43
35,2.83,22.63,47.15,0.0,0.0,0.0,0.0,0.0,0.0,-16.67,-0.0,-0.0,860.74,92.32,10198.44,8.12,0.0,0.0,55.94
36,2.23,22.81,48.68,0.0,0.0,0.0,0.0,0.0,0.0,-14.14,-0.0,-0.0,876.58,92.32,10198.44,8.16,0.0,0.0,59.58
37,2.09,23.07,42.32,0.0,0.0,0.0,0.0,0.0,0.0,-9.65,-0.0,-0.0,890.01,92.32,10198.44,8.14,0.0,0.0,57.83
38,2.15,22.72,30.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.87,-0.0,-0.0,899.17,92.32,10198.44,8.1,0.0,0.0,54.27
39,2.32,24.26,10.23,0.0,0.0,0.0,14.04,0.0,0.0,-0.0,-0.0,-0.0,900.0,92.32,10198.44,8.07,0.0,0.0,50.85
40,2.33,25.64,0.04,0.0,0.0,0.0,12.19,0.0,0.0,-0.0,-0.0,-0.0,884.39,92.32,10198.44,7.95,0.0,0.0,40.21
41,2.07,24.53,0.0,0.0,0.0,0.0,13.99,0.0,0.0,-0.0,-0.0,-0.0,870.85,92.32,10198.44,7.95,0.0,0.0,40.58
42,1.69,21.9,0.0,0.0,0.0,0.0,22.37,0.0,0.0,-0.0,-0.0,-0.0,855.31,92.32,10198.44,8.01,0.0,0.0,45.96
43,1.36,19.07,0.0,0.0,0.0,0.0,28.86,0.0,0.0,-0.0,-0.0,-0.0,830.45,92.32,10198.44,8.05,0.0,0.0,49.29
44,1.15,16.66,0.0,0.0,0.0,0.0,26.06,0.0,0.0,-0.0,-0.0,-0.0,798.38,92.32,10198.44,7.99,0.0,0.0,43.87
45,0.95,15.06,0.0,0.0,0.0,0.0,27.16,0.0,0.0,-0.0,-0.0,-0.0,769.43,92.32,10198.44,7.98,0.0,0.0,43.17
46,0.74,14.07,0.0,0.0,0.0,0.0,29.47,0.0,0.0,-0.0,-0.0,-0.0,739.25,92.32,10198.44,7.99,0.0,0.0,44.28
47,0.64,13.81,0.0,0.0,0.0,0.0,26.52,0.0,0.0,-0.0,-0.0,-0.0,706.51,92.32,10198.44,7.96,0.0,0.0,40.97
48,0.62,13.95,0.0,0.0,0.0,0.0,26.78,0.0,0.0,-0.0,-0.0,-0.0,677.04,92.32,10198.44,7.96,0.0,0.0,41.35
49,0.65,14.01,0.0,0.0,0.0,0.0,35.45,0.0,0.0,-0.0,-0.0,-0.0,647.29,92.32,10198.44,8.06,0.0,0.0,50.11
50,0.76,13.85,0.0,0.0,0.0,0.0,33.28,0.0,0.0,-0.0,-0.0,-0.0,607.9,92.32,10198.44,8.03,0.0,0.0,47.9
51,1.08,13.78,0.0,0.0,0.0,0.0,33.41,0.0,0.0,-0.0,-0.0,-0.0,570.92,92.32,10198.44,8.04,0.0,0.0,48.27
52,1.37,14.01,0.0,0.0,0.0,0.0,33.12,0.0,0.0,-0.0,-0.0,-0.0,533.8,92.32,10198.44,8.04,0.0,0.0,48.49
53,1.32,14.15,0.0,0.0,0.0,0.0,33.72,0.0,0.0,-0.0,-0.0,-0.0,497.0,92.32,10198.44,8.05,0.0,0.0,49.2
54,1.29,14.15,0.0,0.0,0.0,0.0,34.79,0.0,0.0,-0.0,-0.0,-0.0,459.54,92.32,10198.44,8.06,0.0,0.0,50.23
55,1.44,14.36,2.19,0.0,0.0,0.0,37.67,0.0,0.0,-0.0,-0.0,-0.0,420.88,92.32,10198.44,8.12,0.0,0.0,55.65
56,1.63,13.91,17.56,0.0,0.0,0.0,26.8,0.0,0.0,-0.0,-0.0,-0.0,379.03,92.32,10198.44,8.17,0.0,0.0,59.89
57,1.82,13.17,34.5,0.0,0.0,0.0,0.0,0.0,15.94,-0.0,-0.0,-0.0,349.25,92.32,10198.44,8.23,0.0,0.0,65.43
58,2.0,13.7,46.8,0.0,0.0,0.0,0.0,0.0,4.27,-0.0,-0.0,-0.0,349.25,92.32,10163.01,8.24,0.0,0.0,66.78
59,2.41,14.45,53.29,0.0,0.0,0.0,0.0,0.0,3.09,-0.0,-0.0,-0.0,349.25,92.32,10153.52,8.31,0.0,0.0,73.24
60,2.9,15.25,52.86,0.0,0.0,0.0,0.0,0.0,5.87,-0.0,-0.0,-0.0,349.25,92.32,10146.64,8.35,0.0,0.0,76.88
61,3.25,15.75,45.32,0.0,0.0,0.0,0.0,0.0,12.18,-0.0,-0.0,-0.0,349.25,92.32,10133.59,8.35,0.0,0.0,76.5
